县,年末总人口,行政区域土地面积（平方公里）,地区生产总值（万元）,第一产业增加值（万元）,第二产业增加值（万元）,第三产业增加值（万元）,地方财政一般预算收入（万元）（2003年及之前为“地方财政预算内收入”）,地方财政一般预算支出（万元）（2003年及之前为“财政总支出”）,各项税收（万元）,城乡居民储蓄存款余额（万元）,人均地区生产总值（元/人）,规模以上工业总产值（现价）（万元）,adcode,province,city,district
黄山市屯溪区,24.5,,,,,,,,,,,,341002.0,安徽省,黄山市,屯溪区
黄山市黄山区,15.5,,,,,,,,,,,,341003.0,安徽省,黄山市,黄山区
黄山市徽州区,9.8,,,,,,,,,,,,341004.0,安徽省,黄山市,徽州区
涡阳县,131.9,2110.0,3626704.0,511530.0,1348873.0,1766301.0,274321.0,752496.0,,3322439.0,21186.0,,341621.0,安徽省,亳州市,涡阳县
蒙城县,116.1,2144.0,3835578.0,600172.0,1064351.0,2171055.0,224251.0,708659.0,,2961963.0,26333.0,,341622.0,安徽省,亳州市,蒙城县
利辛县,125.2,2005.0,3245779.0,524162.0,976847.0,1744770.0,248254.0,720288.0,,3111970.0,18661.0,,341623.0,安徽省,亳州市,利辛县
亳州市谯城区,153.1,,,,,,,,,,,,341602.0,安徽省,亳州市,谯城区
福州市鼓楼区,73.0,,19167500.0,,3738400.0,15429100.0,300739.0,379484.0,,,260782.0,,350102.0,福建省,福州市,鼓楼区
福州市台江区,48.0,,5386000.0,,875500.0,4510500.0,170946.0,211978.0,,,111511.0,,350103.0,福建省,福州市,台江区
福州市仓山区,85.8,,8248700.0,16500.0,3337900.0,4894300.0,285059.0,409674.0,,,97387.0,,350104.0,福建省,福州市,仓山区
福州市马尾区,26.2,,5762600.0,57600.0,3391400.0,2313600.0,228435.0,346398.0,,4199600.0,219946.0,,350105.0,福建省,福州市,马尾区
福州市晋安区,87.0,,8848000.0,73800.0,2617600.0,6156600.0,242515.0,315252.0,,,101294.0,,350111.0,福建省,福州市,晋安区
闽侯县,74.0,2130.0,7402151.0,457080.0,3945308.0,2999763.0,732343.0,1062951.0,,3454600.0,101053.0,,350121.0,福建省,福州市,闽侯县
福清市,133.0,1701.0,11501499.0,1005523.0,6042493.0,4453483.0,1392012.0,1170408.0,,9138900.0,86935.0,,350181.0,福建省,福州市,福清市
闽清县,24.5,1494.0,3291659.0,343086.0,1807847.0,1140726.0,157736.0,322649.0,,1330900.0,135739.0,,350124.0,福建省,福州市,闽清县
